iter	MultiClass
212	0.5323472029
213	0.5265785305
214	0.5207134493
215	0.5167704201
216	0.5129807501
217	0.5083965123
218	0.5054051945
219	0.501234991
220	0.49664866
221	0.4918816638
222	0.4873368937
223	0.4829808618
224	0.4794075748
225	0.475888293
226	0.4724244969
227	0.4683106288
228	0.4642834221
229	0.4599706886
230	0.453751681
231	0.4502873533
232	0.446739496
233	0.4435263507
234	0.4404747674
235	0.4374242177
236	0.434001811
237	0.4307135025
238	0.4282510061
239	0.424689683
240	0.4203798103
241	0.4177282157
242	0.4149427347
243	0.4115614401
244	0.4085070223
245	0.4048888385
246	0.4015549907
247	0.3983321149
248	0.3954010325
249	0.3930922275
250	0.3890310823
251	0.386784588
252	0.3841299079
253	0.3813816232
254	0.3786889913
255	0.3744471233
256	0.37236464
257	0.3690061762
258	0.366748314
259	0.3646602019
260	0.3621234366
261	0.3592158672
262	0.3562554885
263	0.3532498846
264	0.3507095832
265	0.3486469114
266	0.3469613562
267	0.3448466731
268	0.3423128512
269	0.3399736398
270	0.3371970743
271	0.3350906776
272	0.3328057838
273	0.3305352708
274	0.3277060275
275	0.3258621214
276	0.3241511377
277	0.3225240356
278	0.3202651931
279	0.3177453577
280	0.315923919
281	0.312612328
282	0.3107228407
283	0.308287268
284	0.306589221
285	0.3042983059
286	0.302397102
287	0.2998688527
288	0.2978745517
289	0.295508075
290	0.293508665
291	0.2917856155
292	0.2900930023
293	0.2880597114
294	0.2858557154
295	0.2841106205
296	0.2821988586
297	0.2799976582
298	0.2785124072
299	0.2764253399
300	0.2748685045
301	0.2732556562
302	0.2715677012
303	0.2703396735
304	0.2688091183
305	0.2676013021
306	0.2661844169
307	0.2648249127
308	0.2632043306
309	0.261262059
310	0.2602853097
311	0.2582274913
312	0.2565885139
313	0.2546797384
314	0.2531058478
315	0.2517024453
316	0.2504271187
317	0.2489097687
318	0.2475462431
319	0.2459368708
320	0.2446847488
321	0.243156906
322	0.2413112811
323	0.2402235521
324	0.2386966709
325	0.2371582428
326	0.2358382775
327	0.2348424014
328	0.233499268
329	0.2320745279
330	0.2303043067
331	0.2288776384
332	0.2274554405
333	0.2263982658
334	0.2251606361
335	0.2240958793
336	0.2230279615
337	0.2219060924
338	0.2204354358
339	0.2190678958
340	0.2180500843
341	0.2169048172
342	0.215922708
343	0.2148831697
344	0.2137833263
345	0.212646612
346	0.2112212075
347	0.2101525033
348	0.2089526692
349	0.2078421349
350	0.2067419668
351	0.2058343067
352	0.20480384
353	0.2038966249
354	0.2028861086
355	0.2017644882
356	0.2008937386
357	0.1997790687
358	0.1986316782
359	0.1971301771
360	0.196094328
361	0.1949673415
362	0.1942560273
363	0.1931738285
364	0.1923222413
365	0.1912467496
366	0.1901904085
367	0.18918974
368	0.1883739002
369	0.1874773091
370	0.1863814495
371	0.1855226088
372	0.1846072142
373	0.1836079577
374	0.1831283872
375	0.1822637698
376	0.1816334403
377	0.1808254946
378	0.1798252015
379	0.1790173502
380	0.1779164456
381	0.1770292096
382	0.1757204926
383	0.1750123882
384	0.1740976475
385	0.1735633547
386	0.1725332492
387	0.1718238223
388	0.1708985795
389	0.1700842874
390	0.1692474958
391	0.1685530343
392	0.1676302251
393	0.1668147455
394	0.1659839441
395	0.1648796307
396	0.1642313848
397	0.1636229335
398	0.1627545518
399	0.1623386185
400	0.1616136848
401	0.1608976078
402	0.1604237483
403	0.1596989998
404	0.1590802358
405	0.1585011434
406	0.1576776177
407	0.1569390065
408	0.1559989138
409	0.1553919812
410	0.1548048553
411	0.1542374409
412	0.1533697158
413	0.1527640083
414	0.1519273021
415	0.1510911015
416	0.15067947
417	0.15013682
418	0.1495460915
419	0.1490655435
420	0.148410405
421	0.1479439207
422	0.1473223815
423	0.1466001872
424	0.1460231847
425	0.1455551328
426	0.1449017583
427	0.1442488841
428	0.1436284315
429	0.1428990848
430	0.1422982192
431	0.1416118095
432	0.1409288467
433	0.1402538186
434	0.1397821062
435	0.1392732061
436	0.1388643788
437	0.138174745
438	0.1377054843
439	0.1373113082
440	0.1367338365
441	0.1362225855
442	0.1357913678
443	0.1351204899
444	0.1345949193
445	0.1341702675
446	0.133574303
447	0.133092305
448	0.1326273007
449	0.1320737282
450	0.1315634167
451	0.1311628265
452	0.1308285102
453	0.1302035239
454	0.129841266
455	0.1293775921
456	0.1289200229
457	0.1283842857
458	0.1279933448
459	0.1274339226
460	0.1269512668
461	0.126263659
462	0.1260038477
463	0.1254374008
464	0.124999492
465	0.1246718801
466	0.1242043738
467	0.1237714743
468	0.123338717
469	0.1228604494
470	0.1222844366
471	0.1219433936
472	0.1215595084
473	0.1211082829
474	0.1206653284
475	0.1201426529
476	0.1196831749
477	0.119459279
478	0.1189891502
479	0.1184035739
480	0.1180338494
481	0.1176692949
482	0.1173163707
483	0.1169314492
484	0.1166687165
485	0.1163082146
486	0.1158652477
487	0.1152922985
488	0.1148699442
489	0.1143603815
490	0.1138526435
491	0.1135101168
492	0.1129989158
493	0.1125687416
494	0.1120230952
495	0.1115962212
496	0.1112210108
497	0.1108638932
498	0.1104370061
499	0.1100647027
500	0.1097670842
501	0.1094714687
502	0.1090929542
503	0.1085508741
504	0.1081107184
505	0.1077000303
506	0.1073953627
507	0.1069721971
508	0.1065507873
509	0.1061480671
510	0.1057109072
511	0.1053927479
512	0.1050611924
513	0.1048014567
514	0.1045351108
515	0.1041989705
516	0.1039274532
517	0.1036450345
518	0.1033278903
519	0.1029812629
520	0.1026938612
521	0.1023102958
522	0.1020392949
523	0.1017210306
524	0.1013438861
525	0.1009914619
526	0.100716863
527	0.1003113624
528	0.1001027984
529	0.09959112422
530	0.09929397385
531	0.0990290022
532	0.09873454807
533	0.09846100382
534	0.09817535095
535	0.09773105942
536	0.09728570421
537	0.09706220784
538	0.0967304629
539	0.0964547694
540	0.09619925433
541	0.09594965105
542	0.09569671736
543	0.09547233429
544	0.09517327022
545	0.09495520414
546	0.0946324076
547	0.09438481596
548	0.094081266
549	0.09383996799
550	0.09360930094
551	0.09329284425
552	0.09306499134
553	0.09277848316
554	0.09257683276
555	0.09232503013
556	0.09196707529
557	0.09171552319
558	0.09141183929
559	0.09117162456
560	0.09092047232
561	0.09065463885
562	0.09042325367
563	0.09011137419
564	0.08985738683
565	0.08957691619
566	0.08934053444
567	0.08910314676
568	0.08889670817
569	0.08861435319
570	0.08841152892
571	0.08801792196
572	0.08778813615
573	0.08752097576
574	0.08728234559
575	0.08707485363
576	0.08685454839
577	0.08660665967
578	0.08632399379
579	0.08612804662
580	0.08589567514
581	0.08560966554
582	0.08542428508
583	0.0851573967
584	0.0849761723
585	0.08466226419
586	0.08433482307
587	0.08416520242
588	0.08395010638
589	0.08375563788
590	0.08352524284
591	0.08330180855
592	0.0830348633
593	0.08281115499
594	0.08259843285
595	0.08237106287
596	0.08208994256
597	0.0818848175
598	0.08171480166
599	0.08157892489
600	0.08136823063
601	0.08119103504
602	0.08105840136
603	0.08080897726
604	0.08060007123
605	0.08033576314
606	0.08013235195
607	0.07990909199
608	0.07969040217
609	0.0794792133
610	0.07929894117
611	0.07909328243
612	0.07882694314
613	0.07861870233
614	0.07844960207
615	0.07830796362
616	0.07810642135
617	0.07794186629
618	0.07781082501
619	0.07762814741
620	0.07740356804
621	0.07731295539
622	0.0771105812
623	0.07690687614
624	0.07673030123
625	0.07651619505
626	0.07631911174
627	0.07609911078
628	0.07591619358
629	0.07574475689
630	0.07555509605
631	0.07532747391
632	0.075112747
633	0.07495265394
634	0.07480119306
635	0.07461077771
636	0.07445476045
637	0.0743048251
638	0.07407201087
639	0.07389226267
640	0.0737057775
641	0.07350113611
642	0.07329486883
643	0.07311614851
644	0.07294302243
645	0.07282745539
646	0.07258755791
647	0.0724263114
648	0.07225785771
649	0.07201077566
650	0.07184925439
651	0.07169583806
652	0.07151815093
653	0.07139606007
654	0.07119327758
655	0.07093105311
656	0.07077137238
657	0.07063491493
658	0.07045235319
659	0.07019052361
660	0.06994966214
661	0.06976115743
662	0.06959092624
663	0.06942281123
664	0.06927140838
665	0.06916582899
666	0.06900223574
667	0.06885699473
668	0.06871754895
669	0.06861978711
670	0.06842372532
671	0.06821711873
672	0.06802228764
673	0.0678078442
674	0.0676311311
675	0.06746735424
676	0.06731416338
677	0.0671524976
678	0.06694477966
679	0.06676971777
680	0.06660124954
681	0.06646162536
682	0.06628312512
683	0.06617777962
684	0.06599807085
685	0.06582287951
686	0.06566281984
687	0.06551123131
688	0.06539075589
689	0.06521675095
690	0.06507626288
691	0.06489945983
692	0.06475256653
693	0.06460197568
694	0.06447832109
695	0.06436569425
696	0.0642268901
697	0.0640071632
698	0.06383630082
699	0.06370002148
700	0.06354995377
701	0.06344774597
702	0.06333633404
703	0.063207058
704	0.06308452602
705	0.0629502107
706	0.06283841256
707	0.06270678359
708	0.0625606766
709	0.06242639299
710	0.06226088658
711	0.06215436691
712	0.06201083328
713	0.06184657432
714	0.06169278326
715	0.0615577964
716	0.0614293087
717	0.06129216888
718	0.06116757311
719	0.06105119361
720	0.06093506944
721	0.06083303221
722	0.06074384064
723	0.06062224569
724	0.06049526966
725	0.06033658689
726	0.06019533118
727	0.06002432613
728	0.05987046198
729	0.0597904377
730	0.0596786527
731	0.05956016334
732	0.0594529788
733	0.05935179445
734	0.05923327958
735	0.05913293234
736	0.05900657614
737	0.05887309008
738	0.0587404113
739	0.05860571556
740	0.0584839292
741	0.05838555249
742	0.05826702713
743	0.0581124282
744	0.05799489836
745	0.0578964366
746	0.05780033417
747	0.05770394686
748	0.0575958223
749	0.05749041205
750	0.05738149328
751	0.05726413644
752	0.05713161924
753	0.05702230981
754	0.05693455155
755	0.05684343987
756	0.05674812763
757	0.05665657204
758	0.05653029127
759	0.05640951059
760	0.05630136114
761	0.05619160514
762	0.05609380368
763	0.055986685
764	0.05587271087
765	0.05578105556
766	0.05565803283
767	0.0555123979
768	0.05540505244
769	0.05522851452
770	0.05513402063
771	0.05502401479
772	0.05494199923
773	0.05484566829
774	0.0547346004
775	0.05463680056
776	0.05451337634
777	0.05439241407
778	0.05429213831
779	0.05422195507
780	0.054133773
781	0.05404812158
782	0.05397838151
783	0.05388411991
784	0.05375177367
785	0.05361543968
786	0.05348663533
787	0.05336202672
788	0.0532474593
789	0.05313491993
790	0.05303893189
791	0.05293613731
792	0.05283079472
793	0.05274639838
794	0.05266796566
795	0.05255198503
796	0.05247054378
797	0.05233838005
798	0.05224594128
799	0.05211742356
800	0.05199324999
801	0.0518613313
802	0.05177395205
803	0.05164354685
804	0.05153111433
805	0.0514349583
806	0.05134120699
807	0.05126126594
808	0.05114862782
809	0.05105193643
810	0.05095507779
811	0.05087411994
812	0.05077289706
813	0.05065512574
814	0.050569799
815	0.05045983761
816	0.05040605525
817	0.05033547105
818	0.05023247498
819	0.05014072367
820	0.05007006685
821	0.049986896
822	0.04987975503
823	0.04976989156
824	0.04968101194
825	0.04958421241
826	0.04948264966
827	0.0494014863
828	0.04927113278
829	0.04916449486
830	0.04909957116
831	0.04899048598
832	0.04891136834
833	0.04882635982
834	0.04874271401
835	0.04866715449
836	0.04858192667
837	0.04852162668
838	0.04843737996
839	0.04833959352
840	0.0482425913
841	0.04814864911
842	0.04808129332
843	0.04801622969
844	0.04793384144
845	0.04784154761
846	0.04774110997
847	0.04769230234
848	0.04759582427
849	0.04752185284
850	0.0474325811
851	0.04732751841
852	0.04724740032
853	0.04718642327
854	0.04712249553
855	0.04700966513
856	0.04692124941
857	0.04682246924
858	0.04673579365
859	0.04668034921
860	0.04661629688
861	0.04652456169
862	0.04645032877
863	0.04636788676
864	0.0462794571
865	0.04619654823
866	0.04611574088
867	0.0460238337
868	0.04595041257
869	0.04588271499
870	0.04582869678
871	0.04571409379
872	0.04563060288
873	0.04555558838
874	0.04547715506
875	0.04540996409
876	0.04534435789
877	0.0452844486
878	0.04521076903
879	0.04514528458
880	0.04504195578
881	0.04497176197
882	0.04490214072
883	0.04481600075
884	0.0447518521
885	0.0446843521
886	0.04459723369
887	0.04450750691
888	0.04443404673
889	0.04434208183
890	0.04428722509
891	0.04421443008
892	0.04415123071
893	0.04409151319
894	0.04402193543
895	0.04394549448
896	0.0438668875
897	0.04378863993
898	0.04369623159
899	0.04359576195
900	0.0435374849
901	0.04345810735
902	0.04338934625
903	0.04332547369
904	0.04326177216
905	0.0432135287
906	0.04315273214
907	0.0430959746
908	0.04304497208
909	0.04296791281
910	0.04291686507
911	0.04284995778
912	0.0427996232
913	0.04273154932
914	0.04266814467
915	0.04260683464
916	0.04253659516
917	0.04247290454
918	0.04240897927
919	0.04236174133
920	0.04228335816
921	0.04222110408
922	0.04215161501
923	0.0421103527
924	0.04205290015
925	0.04198772944
926	0.04191375361
927	0.04186262826
928	0.04179844795
929	0.04174271733
930	0.04167887023
931	0.04161445674
932	0.04154304645
933	0.04149920192
934	0.04143987567
935	0.04135297181
936	0.04129462694
937	0.04122044022
938	0.04115541993
939	0.04109704102
940	0.04105131764
941	0.04096622899
942	0.04091411898
943	0.04084688716
944	0.04079044676
945	0.04071628618
946	0.04065555213
947	0.04060385019
948	0.04054642787
949	0.0404821434
950	0.04042597246
951	0.04036094814
952	0.04029006413
953	0.04023442834
954	0.04016569224
955	0.04010314337
956	0.04003028006
957	0.039983822
958	0.03992988069
959	0.03986746637
960	0.03982050628
961	0.03975257965
962	0.03968838166
963	0.03963664638
964	0.03958072703
965	0.03952760254
966	0.03946616894
967	0.03941912673
968	0.03935859969
969	0.03929239936
970	0.03924574069
971	0.03919155999
972	0.03910208043
973	0.03904006508
974	0.03897618289
975	0.03892073337
976	0.03884546753
977	0.03879220049
978	0.03873536515
979	0.03868516786
980	0.03859660759
981	0.03855542942
982	0.0385070451
983	0.03843255622
984	0.0383899454
985	0.03835159193
986	0.03829658249
987	0.03824273464
988	0.03818564373
989	0.03813722969
990	0.03806379559
991	0.03801412691
992	0.03796755386
993	0.03791495026
994	0.03783525796
995	0.03776462329
996	0.03772608394
997	0.03765928057
998	0.03762761462
999	0.03758095811
